Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
346	Cell Systems	2,275	8.64	0.01628
347	PLANT CELL	52,034	8.631	0.0578
348	Cancer Immunology Research	5,420	8.619	0.02538
349	Annual Review of Environment and Resources	4,214	8.617	0.00478
349	Annual Review of Environment and Resources	4,214	8.617	0.00478
351	JOURNAL OF HEART AND LUNG TRANSPLANTATION	12,436	8.578	0.02731
352	JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY	38,177	8.547	0.05554
353	CURRENT OPINION IN CHEMICAL BIOLOGY	10,499	8.544	0.01899
354	TRENDS IN FOOD SCIENCE & TECHNOLOGY	14,653	8.519	0.01476
355	Nano Research	16,517	8.515	0.03181
356	Annual Review of Food Science and Technology	1,887	8.511	0.00316
357	IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION	12,841	8.508	0.00869
358	ORGANIZATION & ENVIRONMENT	1,722	8.5	0.0017
359	ACS Applied Materials & Interfaces	170,096	8.456	0.36636
360	TRAC-TRENDS IN ANALYTICAL CHEMISTRY	15,717	8.428	0.02219
361	APPLIED ENERGY	81,221	8.426	0.12849
362	Annual Review of Nutrition	5,565	8.422	0.00432
363	CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE	3,955	8.418	0.0047
364	MOLECULAR THERAPY	16,991	8.402	0.03005
365	PLOS BIOLOGY	29,974	8.386	0.05795
366	EMBO REPORTS	13,786	8.383	0.02985
367	CANCER RESEARCH	130,932	8.378	0.12387
368	Astrophysical Journal Letters	34,259	8.374	0.11346
369	CHEMICAL ENGINEERING JOURNAL	95,055	8.355	0.12186
370	CANCER TREATMENT REVIEWS	8,419	8.332	0.01693
371	MOLECULAR ASPECTS OF MEDICINE	5,568	8.313	0.00902
372	ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES	28,834	8.311	0.05095
373	KIDNEY INTERNATIONAL	42,627	8.306	0.04334
374	BMC Medicine	13,630	8.285	0.04522
375	Molecular Neurodegeneration	4,248	8.274	0.01135
376	JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY	29,660	8.272	0.03073
377	npj Quantum Information	864	8.27	0.00534
378	ADVANCES IN COLLOID AND INTERFACE SCIENCE	14,094	8.243	0.01397
379	CURRENT OPINION IN CELL BIOLOGY	13,417	8.233	0.02579
380	REMOTE SENSING OF ENVIRONMENT	54,482	8.218	0.04862
381	Cellular & Molecular Immunology	4,058	8.213	0.00916
382	Obesity Reviews	11,567	8.192	0.02373
383	Perspectives on Psychological Science	9,318	8.19	0.02284
384	PSYCHOLOGICAL METHODS	12,744	8.188	0.01161
385	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	22,959	8.166	0.03535
386	SPACE SCIENCE REVIEWS	11,758	8.142	0.02589
387	Wiley Interdisciplinary Reviews-Computational Molecular Science	5,057	8.127	0.00899
388	CELL DEATH AND DIFFERENTIATION	19,729	8.086	0.03029
