individual	tax	abundance	group
Y3M2	Otu420	0.0	y
Y4M2	Otu420	0.0	y
RC1	Otu420	0.0	r
RC2	Otu420	0.0	r
RC3	Otu420	0.0	r
YQ1	Otu420	0.0	y
RQ1	Otu420	0.0	r
Y0J1	Otu420	0.0010056223431000595	yj
R0J1	Otu420	0.00013170025023047545	rj
Y0J2	Otu420	0.00013348164627363738	yj
R0J2	Otu420	0.0001301913813305559	rj
YQ2	Otu420	0.0	y
RQ2	Otu420	0.0	r
YQ3	Otu420	0.0	y
RQ3	Otu420	0.0	r
Y0J3	Otu420	0.0005210368633580826	yj
R0J3	Otu420	0.0003479471120389701	rj
Y7J1	Otu420	0.0015113681167039032	yj
R7J1	Otu420	0.002450719232818327	rj
RGR1	Otu9	0.0	r
RGO1	Otu9	0.0	r
RYE2	Otu9	0.0	r
RWH2	Otu9	0.0	r
RYE1	Otu9	0.0	r
RBL2	Otu9	0.0	r
RGR2	Otu9	0.0	r
RGO2	Otu9	0.0	r
YYE1	Otu9	0.0	y
YWH1	Otu9	0.0	y
RWH1	Otu9	0.0	r
YBL1	Otu9	0.00020153164046755341	y
YGR1	Otu9	0.00034782608695652176	y
YGO1	Otu9	0.0	y
YYE2	Otu9	0.0	y
YWH2	Otu9	2.094986696834475e-05	y
YBL2	Otu9	0.00012142701022415426	y
YGR2	Otu9	0.0	y
YGO2	Otu9	0.0	y
RBL1	Otu9	8.614748449345279e-05	r
E28	Otu9	0.0	zzs
E29	Otu9	0.0	zzd
RC4	Otu9	0.0	r
YC1	Otu9	0.0	y
YC2	Otu9	0.0	y
YC3	Otu9	0.0	y
YC4	Otu9	0.0	y
R1M1	Otu9	0.0	r
R2M1	Otu9	0.0	r
Y1M1	Otu9	0.0	y
Y2M1	Otu9	0.0	y
RC5	Otu9	0.0	r
RC6	Otu9	0.0	r
RC7	Otu9	0.0	r
YC5	Otu9	0.0	y
YC6	Otu9	0.0	y
YC7	Otu9	0.0	y
R3M2	Otu9	0.0	r
R4M2	Otu9	0.0	r
Y3M2	Otu9	0.0	y
Y4M2	Otu9	0.0	y
RC1	Otu9	0.0	r
RC2	Otu9	0.0	r
RC3	Otu9	0.0	r
YQ1	Otu9	5.725245469899522e-05	y
RQ1	Otu9	0.0	r
Y0J1	Otu9	0.007862138318782283	yj
R0J1	Otu9	3.292506255761886e-05	rj
Y0J2	Otu9	0.00011123470522803115	yj
R0J2	Otu9	0.000499066961767131	rj
YQ2	Otu9	0.0	y
RQ2	Otu9	0.0	r
YQ3	Otu9	0.0	y
RQ3	Otu9	0.0	r
Y0J3	Otu9	0.008835916807780817	yj
R0J3	Otu9	0.00017397355601948505	rj
Y7J1	Otu9	0.26775309939983355	yj
R7J1	Otu9	0.06506126798082046	rj
RGR1	Otu387	0.0	r
RGO1	Otu387	0.0	r
RYE2	Otu387	0.0	r
RWH2	Otu387	0.0	r
RYE1	Otu387	0.0	r
RBL2	Otu387	0.0	r
RGR2	Otu387	0.0	r
RGO2	Otu387	0.0	r
YYE1	Otu387	0.0	y
YWH1	Otu387	0.0	y
RWH1	Otu387	0.0	r
YBL1	Otu387	0.00020153164046755341	y
YGR1	Otu387	0.0	y
YGO1	Otu387	4.138045187453447e-05	y
YYE2	Otu387	0.0	y
YWH2	Otu387	0.0	y
YBL2	Otu387	0.0	y
YGR2	Otu387	0.0	y
YGO2	Otu387	0.0	y
RBL1	Otu387	0.0	r
E28	Otu387	0.0	zzs
E29	Otu387	0.0	zzd
RC4	Otu387	0.0	r
YC1	Otu387	0.0	y
YC2	Otu387	0.0	y
YC3	Otu387	0.0	y
YC4	Otu387	0.0	y
R1M1	Otu387	0.0	r
R2M1	Otu387	0.0	r
Y1M1	Otu387	0.0	y
Y2M1	Otu387	0.0	y
RC5	Otu387	0.0	r
RC6	Otu387	0.0	r
RC7	Otu387	0.0	r
YC5	Otu387	0.0	y
YC6	Otu387	0.0	y
YC7	Otu387	0.0	y
R3M2	Otu387	0.0	r
R4M2	Otu387	0.0	r
Y3M2	Otu387	0.0	y
Y4M2	Otu387	0.0	y
RC1	Otu387	0.0	r
RC2	Otu387	0.0	r
RC3	Otu387	0.0	r
YQ1	Otu387	0.0	y
RQ1	Otu387	0.0	r
Y0J1	Otu387	0.019929606435982995	yj
R0J1	Otu387	0.012083497958646121	rj
Y0J2	Otu387	0.001268075639599555	yj
R0J2	Otu387	0.0012151195590851885	rj
YQ2	Otu387	5.1118210862619806e-05	y
RQ2	Otu387	0.0	r
YQ3	Otu387	0.0	y
RQ3	Otu387	3.25351379489849e-05	r
Y0J3	Otu387	0.00036906777821197516	yj
R0J3	Otu387	0.0010220946416144745	rj
Y7J1	Otu387	0.018684014544180137	yj
R7J1	Otu387	0.04583910495471497	rj
RGR1	Otu96	0.0	r
RGO1	Otu96	0.0	r
RYE2	Otu96	2.7243502424671715e-05	r
RWH2	Otu96	0.0	r
RYE1	Otu96	0.0	r
RBL2	Otu96	0.0	r
RGR2	Otu96	0.0	r
RGO2	Otu96	0.0	r
YYE1	Otu96	0.0	y
YWH1	Otu96	6.0152788081727585e-05	y
RWH1	Otu96	0.0	r
YBL1	Otu96	0.0	y
YGR1	Otu96	0.00034782608695652176	y
YGO1	Otu96	0.0	y
YYE2	Otu96	0.00011737433610141142	y
YWH2	Otu96	2.094986696834475e-05	y
YBL2	Otu96	0.0	y
YGR2	Otu96	0.0	y
YGO2	Otu96	0.0	y
RBL1	Otu96	8.614748449345279e-05	r
E28	Otu96	0.0	zzs
E29	Otu96	0.0	zzd
RC4	Otu96	0.0	r
YC1	Otu96	0.0	y
YC2	Otu96	0.0	y
YC3	Otu96	0.0	y
YC4	Otu96	0.0	y
R1M1	Otu96	0.0	r
R2M1	Otu96	0.0	r
Y1M1	Otu96	0.0	y
Y2M1	Otu96	0.0	y
RC5	Otu96	0.0	r
RC6	Otu96	0.0	r
RC7	Otu96	0.00027077208726597555	r
YC5	Otu96	0.0	y
YC6	Otu96	0.0	y
